,negative,positive,total
definalti,0.0,1.0,1.0
definat,10.0,32.0,42.0
definatley,1.0,4.0,5.0
defineitley,0.0,1.0,1.0
definenet,0.0,1.0,1.0
definet,26.0,57.0,83.0
definetley,0.0,1.0,1.0
defini,1.0,0.0,1.0
definiat,0.0,1.0,1.0
definint,0.0,1.0,1.0
definit,488.0,1079.0,1567.0
definitali,0.0,1.0,1.0
definitelli,1.0,0.0,1.0
definitelyb,1.0,0.0,1.0
definitelyi,1.0,0.0,1.0
definitelyth,0.0,1.0,1.0
definitey,0.0,1.0,1.0
definitiva,1.0,0.0,1.0
definitivament,1.0,0.0,1.0
definitl,1.0,0.0,1.0
definitley,2.0,4.0,6.0
definnali,0.0,1.0,1.0
defint,2.0,10.0,12.0
definti,0.0,1.0,1.0
defintit,0.0,1.0,1.0
deflat,18.0,11.0,29.0
deflect,1.0,0.0,1.0
deflow,1.0,0.0,1.0
defo,1.0,0.0,1.0
deford,0.0,1.0,1.0
deform,13.0,1.0,14.0
defrag,1.0,0.0,1.0
defraud,3.0,0.0,3.0
defreez,0.0,1.0,1.0
defrost,3.0,1.0,4.0
deft,1.0,9.0,10.0
defunct,4.0,1.0,5.0
deg,1.0,0.0,1.0
degarmo,2.0,0.0,2.0
degen,1.0,0.0,1.0
degenar,1.0,0.0,1.0
degener,9.0,1.0,10.0
degest,0.0,1.0,1.0
degrad,18.0,4.0,22.0
degrang,1.0,0.0,1.0
degrassi,2.0,0.0,2.0
degre,30.0,9.0,39.0
deguello,1.0,0.0,1.0
degug,1.0,0.0,1.0
dehuman,1.0,1.0,2.0
dehumidifi,0.0,1.0,1.0
dehydr,3.0,0.0,3.0
deicid,1.0,0.0,1.0
deifi,0.0,3.0,3.0
deign,1.0,1.0,2.0
deinat,0.0,1.0,1.0
deioniz,1.0,0.0,1.0
deisgn,0.0,1.0,1.0
deiver,1.0,0.0,1.0
deje,0.0,1.0,1.0
deject,1.0,1.0,2.0
deke,1.0,0.0,1.0
del,4.0,6.0,10.0
dela,1.0,0.0,1.0
delacort,1.0,0.0,1.0
delago,0.0,1.0,1.0
delamin,1.0,0.0,1.0
delancey,0.0,1.0,1.0
delawar,2.0,1.0,3.0
delay,16.0,9.0,25.0
delayi,1.0,0.0,1.0
delbert,0.0,1.0,1.0
deleat,0.0,1.0,1.0
delect,0.0,1.0,1.0
deleiv,0.0,1.0,1.0
delet,78.0,44.0,122.0
delev,0.0,1.0,1.0
delght,0.0,1.0,1.0
delhi,0.0,1.0,1.0
deli,0.0,1.0,1.0
deliber,21.0,8.0,29.0
deliberq,0.0,1.0,1.0
delic,18.0,39.0,57.0
delici,24.0,92.0,116.0
deliev,2.0,0.0,2.0
delievr,1.0,0.0,1.0
delight,38.0,247.0,285.0
delighteful,0.0,1.0,1.0
delilah,2.0,0.0,2.0
delimit,1.0,0.0,1.0
delin,1.0,4.0,5.0
delinski,1.0,0.0,1.0
deliri,2.0,2.0,4.0
delirium,1.0,0.0,1.0
delit,0.0,2.0,2.0
deliv,171.0,184.0,355.0
deliver,0.0,1.0,1.0
delkin,1.0,0.0,1.0
dell,12.0,0.0,12.0
delonghi,0.0,1.0,1.0
delori,1.0,0.0,1.0
delorm,1.0,0.0,1.0
delpoy,0.0,1.0,1.0
delt,1.0,2.0,3.0
delta,10.0,5.0,15.0
deltail,0.0,1.0,1.0
deltran,2.0,0.0,2.0
delud,5.0,2.0,7.0
delusion,7.0,1.0,8.0
delux,18.0,16.0,34.0
delv,17.0,29.0,46.0
delvelop,1.0,1.0,2.0
dem,0.0,2.0,2.0
demagnet,1.0,0.0,1.0
demagog,1.0,0.0,1.0
deman,1.0,0.0,1.0
demand,32.0,26.0,58.0
demanufactur,1.0,0.0,1.0
demasiado,2.0,0.0,2.0
demean,10.0,4.0,14.0
dement,9.0,3.0,12.0
demetr,1.0,0.0,1.0
demi,3.0,3.0,6.0
demigod,1.0,0.0,1.0
demill,0.0,1.0,1.0
deminish,1.0,0.0,1.0
demir,1.0,0.0,1.0
demis,1.0,1.0,2.0
demitri,0.0,1.0,1.0
demm,1.0,1.0,2.0
demo,6.0,3.0,9.0
democracrat,0.0,1.0,1.0
democrat,7.0,5.0,12.0
demograph,2.0,3.0,5.0
demolish,5.0,5.0,10.0
demon,20.0,12.0,32.0
demondr,0.0,1.0,1.0
demonstr,46.0,47.0,93.0
demor,2.0,0.0,2.0
demornay,1.0,1.0,2.0
demostr,1.0,0.0,1.0
demot,2.0,0.0,2.0
demuestra,0.0,1.0,1.0
demuth,0.0,1.0,1.0
demystifi,1.0,6.0,7.0
den,2.0,3.0,5.0
denali,1.0,0.0,1.0
dench,2.0,0.0,2.0
denegr,3.0,0.0,3.0
deni,33.0,24.0,57.0
denial,12.0,4.0,16.0
denigr,1.0,0.0,1.0
denigrad,1.0,0.0,1.0
deniro,3.0,0.0,3.0
denis,0.0,3.0,3.0
denmon,1.0,0.0,1.0
denner,0.0,1.0,1.0
denni,6.0,6.0,12.0
denot,1.0,2.0,3.0
denounc,0.0,3.0,3.0
dens,20.0,9.0,29.0
denser,0.0,1.0,1.0
dent,15.0,1.0,16.0
dental,2.0,4.0,6.0
dentist,2.0,1.0,3.0
denud,1.0,0.0,1.0
denver,0.0,5.0,5.0
denzel,6.0,7.0,13.0
denzil,0.0,1.0,1.0
deo,1.0,1.0,2.0
deoder,3.0,0.0,3.0
deodor,3.0,7.0,10.0
depaola,0.0,1.0,1.0
depart,7.0,9.0,16.0
department,0.0,1.0,1.0
departur,1.0,1.0,2.0
depech,2.0,1.0,3.0
depend,80.0,64.0,144.0
deph,0.0,1.0,1.0
depict,44.0,60.0,104.0
deplet,3.0,1.0,4.0
depli,0.0,1.0,1.0
deplor,10.0,5.0,15.0
deploy,2.0,4.0,6.0
deport,1.0,0.0,1.0
depos,0.0,1.0,1.0
deposit,3.0,0.0,3.0
depp,8.0,2.0,10.0
deprav,4.0,3.0,7.0
deprec,2.0,3.0,5.0
depreci,0.0,2.0,2.0
deprend,0.0,1.0,1.0
depress,225.0,76.0,301.0
depresss,1.0,0.0,1.0
depriv,6.0,6.0,12.0
depser,1.0,0.0,1.0
depsit,1.0,0.0,1.0
dept,2.0,0.0,2.0
depth,31.0,42.0,73.0
deputi,0.0,1.0,1.0
der,0.0,3.0,3.0
derail,3.0,3.0,6.0
derang,5.0,4.0,9.0
deregist,1.0,0.0,1.0
derek,1.0,6.0,7.0
derid,2.0,1.0,3.0
deritv,1.0,0.0,1.0
deriv,41.0,22.0,63.0
derivit,1.0,0.0,1.0
dermat,1.0,0.0,1.0
dermatologist,1.0,0.0,1.0
dermmatch,0.0,1.0,1.0
dermot,0.0,1.0,1.0
dern,1.0,0.0,1.0
derogatori,0.0,1.0,1.0
derrida,0.0,1.0,1.0
derrivi,1.0,0.0,1.0
derserv,0.0,1.0,1.0
dersu,0.0,1.0,1.0
desapoint,2.0,0.0,2.0
descal,1.0,0.0,1.0
descalzo,0.0,2.0,2.0
descend,11.0,6.0,17.0
descent,1.0,0.0,1.0
descib,5.0,2.0,7.0
descibb,1.0,0.0,1.0
descipl,0.0,1.0,1.0
desconcerta,1.0,0.0,1.0
descov,2.0,0.0,2.0
describ,352.0,385.0,737.0
describesa,0.0,1.0,1.0
descrip,0.0,1.0,1.0
descripit,0.0,1.0,1.0
descript,41.0,37.0,78.0
descriv,1.0,0.0,1.0
desd,1.0,1.0,2.0
dese,2.0,1.0,3.0
desear,1.0,0.0,1.0
desecnt,0.0,1.0,1.0
desecr,1.0,0.0,1.0
deselect,2.0,0.0,2.0
desensit,1.0,1.0,2.0
deserev,1.0,0.0,1.0
desert,11.0,18.0,29.0
desertisland,0.0,1.0,1.0
deserv,271.0,244.0,515.0
desespero,0.0,1.0,1.0
desevrv,0.0,1.0,1.0
desid,0.0,3.0,3.0
design,240.0,120.0,360.0
desin,1.0,0.0,1.0
desing,1.0,0.0,1.0
desir,77.0,44.0,121.0
desire,2.0,1.0,3.0
desirv,0.0,1.0,1.0
desist,1.0,0.0,1.0
desjardin,1.0,0.0,1.0
desk,3.0,1.0,4.0
desktop,8.0,3.0,11.0
desmond,1.0,0.0,1.0
desnudo,1.0,0.0,1.0
desol,2.0,1.0,3.0
despair,2.0,2.0,4.0
despar,4.0,1.0,5.0
desparado,0.0,1.0,1.0
desparet,0.0,1.0,1.0
desper,77.0,33.0,110.0
desperat,2.0,0.0,2.0
desperet,1.0,0.0,1.0
despic,10.0,5.0,15.0
despis,19.0,8.0,27.0
despite,0.0,1.0,1.0
desplict,0.0,1.0,1.0
despond,1.0,0.0,1.0
despot,0.0,1.0,1.0
despress,1.0,0.0,1.0
desrerv,1.0,0.0,1.0
desrev,1.0,0.0,1.0
desrib,1.0,3.0,4.0
desroy,1.0,0.0,1.0
dessert,1.0,4.0,5.0
destin,6.0,17.0,23.0
destini,18.0,12.0,30.0
destitut,0.0,2.0,2.0
destoevski,1.0,0.0,1.0
destori,0.0,1.0,1.0
destoryedin,0.0,1.0,1.0
destoy,1.0,2.0,3.0
destra,0.0,1.0,1.0
destract,0.0,1.0,1.0
destroy,143.0,73.0,216.0
destruct,12.0,11.0,23.0
destructioni,1.0,0.0,1.0
det,1.0,0.0,1.0
deta,1.0,0.0,1.0
detach,14.0,13.0,27.0
detail,107.0,230.0,337.0
detailsformat,0.0,1.0,1.0
detailsreleas,0.0,1.0,1.0
detain,2.0,0.0,2.0
detal,0.0,1.0,1.0
detangl,0.0,4.0,4.0
detatch,2.0,0.0,2.0
detect,49.0,58.0,107.0
detectado,0.0,1.0,1.0
detecto,0.0,1.0,1.0
deter,5.0,6.0,11.0
deterio,1.0,0.0,1.0
deterior,20.0,5.0,25.0
determ,1.0,1.0,2.0
determin,46.0,58.0,104.0
detest,7.0,3.0,10.0
dethron,0.0,2.0,2.0
detial,1.0,1.0,2.0
detic,1.0,0.0,1.0
detirmin,1.0,0.0,1.0
detongu,0.0,1.0,1.0
detour,1.0,0.0,1.0
detox,1.0,1.0,2.0
detoxif,0.0,1.0,1.0
detoxifi,1.0,0.0,1.0
detract,27.0,23.0,50.0
detrim,1.0,0.0,1.0
detriment,1.0,0.0,1.0
detroit,0.0,13.0,13.0
detroy,1.0,0.0,1.0
dettach,1.0,0.0,1.0
detten,1.0,0.0,1.0
detun,3.0,0.0,3.0
detur,0.0,1.0,1.0
deus,2.0,0.0,2.0
devanagari,2.0,0.0,2.0
devast,9.0,30.0,39.0
devbelop,1.0,0.0,1.0
devda,2.0,0.0,2.0
develop,255.0,241.0,496.0
development,2.0,1.0,3.0
developmentof,0.0,1.0,1.0
devendra,0.0,1.0,1.0
deveraux,2.0,1.0,3.0
devest,0.0,4.0,4.0
deviant,1.0,2.0,3.0
deviat,6.0,4.0,10.0
devic,3.0,1.0,4.0
devid,1.0,0.0,1.0
devil,13.0,17.0,30.0
devilish,0.0,3.0,3.0
devin,0.0,1.0,1.0
devious,1.0,4.0,5.0
devis,4.0,6.0,10.0
devist,2.0,0.0,2.0
devito,1.0,0.0,1.0
devlin,1.0,0.0,1.0
devlop,1.0,0.0,1.0
devoid,10.0,0.0,10.0
devolop,1.0,1.0,2.0
devolv,6.0,1.0,7.0
devon,1.0,0.0,1.0
devot,51.0,42.0,93.0
devote,0.0,1.0,1.0
devour,7.0,15.0,22.0
devout,2.0,2.0,4.0
dewalt,2.0,1.0,3.0
dewi,0.0,1.0,1.0
dewint,0.0,1.0,1.0
dexter,2.0,2.0,4.0
dey,1.0,0.0,1.0
deystroy,1.0,0.0,1.0
dft,2.0,0.0,2.0
dghda,1.0,0.0,1.0
dgtreed,1.0,0.0,1.0
dh,0.0,2.0,2.0
dhani,0.0,1.0,1.0
dhcp,2.0,0.0,2.0
di,8.0,9.0,17.0
dia,0.0,1.0,1.0
diaappoint,1.0,0.0,1.0
diabet,3.0,1.0,4.0
diablo,2.0,0.0,2.0
diablous,0.0,1.0,1.0
diablowatch,0.0,1.0,1.0
diabol,2.0,1.0,3.0
diagnos,7.0,17.0,24.0
diagnosi,1.0,1.0,2.0
diagnost,1.0,2.0,3.0
diagon,1.0,0.0,1.0
diagram,2.0,8.0,10.0
diagrammat,1.0,0.0,1.0
diahann,0.0,2.0,2.0
dial,23.0,6.0,29.0
dialat,0.0,1.0,1.0
dialect,1.0,2.0,3.0
dialectr,0.0,1.0,1.0
dialog,3.0,1.0,4.0
dialogu,5.0,6.0,11.0
dialoug,2.0,0.0,2.0
dialup,1.0,0.0,1.0
diam,1.0,0.0,1.0
diamant,3.0,2.0,5.0
diamet,0.0,1.0,1.0
diametr,3.0,0.0,3.0
diamond,3.0,8.0,11.0
dian,1.0,4.0,5.0
diana,16.0,12.0,28.0
dianamit,0.0,1.0,1.0
diann,0.0,1.0,1.0
diaper,15.0,10.0,25.0
diaphon,1.0,0.0,1.0
diapoint,1.0,0.0,1.0
diappoint,7.0,2.0,9.0
diari,29.0,15.0,44.0
diarrea,1.0,0.0,1.0
diarrhoea,1.0,0.0,1.0
diasagre,1.0,0.0,1.0
diasappoint,0.0,1.0,1.0
diaspora,1.0,1.0,2.0
diasppoint,1.0,0.0,1.0
diasspoint,1.0,0.0,1.0
diaton,1.0,0.0,1.0
diatrib,3.0,0.0,3.0
diaz,1.0,1.0,2.0
dib,0.0,1.0,1.0
dibl,0.0,1.0,1.0
dice,2.0,3.0,5.0
dicesgaviota,0.0,1.0,1.0
dicho,1.0,1.0,2.0
dichodomi,0.0,1.0,1.0
diciplin,0.0,1.0,1.0
dick,16.0,12.0,28.0
dicken,6.0,20.0,26.0
dickensian,2.0,1.0,3.0
dickey,0.0,1.0,1.0
dicki,2.0,1.0,3.0
dickinson,2.0,0.0,2.0
dico,0.0,2.0,2.0
dicourag,1.0,0.0,1.0
dictat,6.0,3.0,9.0
dictatori,0.0,1.0,1.0
dictatorship,1.0,0.0,1.0
dictionari,41.0,44.0,85.0
dictonari,0.0,2.0,2.0
dicuss,1.0,0.0,1.0
did,5961.0,3055.0,9016.0
didact,5.0,2.0,7.0
didd,1.0,0.0,1.0
diddi,2.0,0.0,2.0
diddl,0.0,1.0,1.0
diddnt,1.0,1.0,2.0
didenjoy,1.0,0.0,1.0
dident,0.0,1.0,1.0
didn,4.0,5.0,9.0
didnot,2.0,1.0,3.0
didnt,106.0,42.0,148.0
dido,5.0,3.0,8.0
didonc,0.0,1.0,1.0
didplay,0.0,1.0,1.0
die,500.0,374.0,874.0
diect,1.0,0.0,1.0
diedo,1.0,0.0,1.0
diego,2.0,2.0,4.0
diehard,10.0,0.0,10.0
diehl,0.0,2.0,2.0
diem,1.0,0.0,1.0
dieret,0.0,1.0,1.0
dies,1.0,1.0,2.0
diesaes,1.0,0.0,1.0
diesel,3.0,1.0,4.0
diest,0.0,1.0,1.0
diestop,1.0,0.0,1.0
diet,42.0,27.0,69.0
dietari,2.0,0.0,2.0
dieter,0.0,1.0,1.0
dietician,0.0,1.0,1.0
dietrich,2.0,1.0,3.0
dif,0.0,1.0,1.0
difeer,0.0,1.0,1.0
difer,2.0,3.0,5.0
diferenci,1.0,0.0,1.0
diferent,1.0,0.0,1.0
diff,4.0,2.0,6.0
diffef,0.0,1.0,1.0
diffen,0.0,1.0,1.0
diffenit,1.0,1.0,2.0
diffent,1.0,1.0,2.0
differ,1127.0,1305.0,2432.0
differec,0.0,1.0,1.0
differencei,0.0,1.0,1.0
differenci,0.0,1.0,1.0
differenthow,1.0,0.0,1.0
differenti,13.0,4.0,17.0
differentr,1.0,0.0,1.0
differn,2.0,0.0,2.0
differnet,0.0,1.0,1.0
differnt,0.0,5.0,5.0
difffer,1.0,1.0,2.0
difficlut,1.0,0.0,1.0
difficult,574.0,349.0,923.0
difficulti,1.0,0.0,1.0
difficultieswith,1.0,0.0,1.0
difficut,2.0,0.0,2.0
diffinit,0.0,1.0,1.0
diffir,0.0,1.0,1.0
diffrent,3.0,4.0,7.0
diffuclt,1.0,0.0,1.0
diffus,0.0,1.0,1.0
dificullt,1.0,0.0,1.0
dificult,1.0,2.0,3.0
difinit,0.0,2.0,2.0
difrent,0.0,1.0,1.0
dig,32.0,44.0,76.0
digabl,1.0,0.0,1.0
digarmo,1.0,0.0,1.0
digbi,0.0,1.0,1.0
diger,0.0,1.0,1.0
digest,15.0,22.0,37.0
digger,1.0,0.0,1.0
diggi,0.0,1.0,1.0
diggin,1.0,1.0,2.0
dight,1.0,0.0,1.0
digi,1.0,1.0,2.0
digicam,0.0,1.0,1.0
digimon,0.0,2.0,2.0
diginto,1.0,0.0,1.0
digit,302.0,185.0,487.0
digitallli,0.0,1.0,1.0
digitech,0.0,1.0,1.0
dignam,1.0,0.0,1.0
dignifi,1.0,1.0,2.0
digress,4.0,0.0,4.0
digsust,1.0,0.0,1.0
digtal,1.0,0.0,1.0
digust,1.0,0.0,1.0
dike,1.0,0.0,1.0
dilapid,0.0,2.0,2.0
dilat,0.0,1.0,1.0
dilbert,1.0,2.0,3.0
dileg,0.0,1.0,1.0
dilemma,1.0,0.0,1.0
dilig,3.0,0.0,3.0
diliv,1.0,0.0,1.0
dill,0.0,1.0,1.0
dilli,0.0,1.0,1.0
dillin,0.0,1.0,1.0
dilling,1.0,0.0,1.0
dillon,3.0,0.0,3.0
dillusion,1.0,0.0,1.0
dilut,17.0,2.0,19.0
dim,22.0,11.0,33.0
dimaggio,1.0,0.0,1.0
dime,11.0,0.0,11.0
dimenion,0.0,1.0,1.0
dimension,70.0,24.0,94.0
diment,3.0,1.0,4.0
diminish,11.0,15.0,26.0
diminsion,1.0,0.0,1.0
dimish,0.0,1.0,1.0
dimitri,0.0,1.0,1.0
dimitrio,0.0,1.0,1.0
dimitrova,2.0,0.0,2.0
dimmabl,1.0,0.0,1.0
dimmer,2.0,1.0,3.0
dimmu,1.0,0.0,1.0
dimwit,3.0,0.0,3.0
din,2.0,1.0,3.0
dina,0.0,1.0,1.0
dinah,3.0,9.0,12.0
dinam,0.0,1.0,1.0
dinamit,0.0,1.0,1.0
dind,1.0,1.0,2.0
dine,5.0,4.0,9.0
dinesh,1.0,0.0,1.0
ding,6.0,2.0,8.0
dingi,2.0,0.0,2.0
dink,1.0,0.0,1.0
dinkey,1.0,0.0,1.0
dinki,2.0,0.0,2.0
dinner,1.0,2.0,3.0
dinnershould,1.0,0.0,1.0
dino,0.0,2.0,2.0
dinosaur,2.0,5.0,7.0
dint,1.0,0.0,1.0
dio,1.0,2.0,3.0
diocletian,0.0,1.0,1.0
diodn,0.0,1.0,1.0
diogen,0.0,1.0,1.0
dioloug,1.0,0.0,1.0
dionn,1.0,1.0,2.0
dior,0.0,2.0,2.0
dip,8.0,8.0,16.0
dipict,1.0,1.0,2.0
diplomaci,0.0,1.0,1.0
diplomat,0.0,1.0,1.0
dippi,0.0,1.0,1.0
dippl,0.0,1.0,1.0
dipset,0.0,1.0,1.0
dire,10.0,5.0,15.0
direct,266.0,209.0,475.0
directori,2.0,5.0,7.0
directv,0.0,1.0,1.0
directx,2.0,1.0,3.0
dirigi,0.0,1.0,1.0
dirk,4.0,3.0,7.0
dirrti,0.0,1.0,1.0
dirt,5.0,4.0,9.0
dirti,63.0,52.0,115.0
dirtiest,1.0,0.0,1.0
dis,15.0,9.0,24.0
disaapoint,1.0,0.0,1.0
disabl,22.0,10.0,32.0
disadvantag,1.0,1.0,2.0
disaffect,4.0,1.0,5.0
disagr,0.0,1.0,1.0
disagre,67.0,57.0,124.0
disapoint,156.0,37.0,193.0
disapointd,0.0,1.0,1.0
disapointesd,1.0,0.0,1.0
disapointin,0.0,1.0,1.0
disapoit,0.0,1.0,1.0
disapooint,2.0,0.0,2.0
disappaoint,1.0,0.0,1.0
disappear,42.0,30.0,72.0
disappeard,0.0,1.0,1.0
disapperar,0.0,1.0,1.0
disappint,1.0,0.0,1.0
disappiont,9.0,2.0,11.0
disappoin,3.0,0.0,3.0
disappoinst,1.0,0.0,1.0
disappoint,2883.0,517.0,3400.0
disappointd,2.0,0.0,2.0
disappointeda,1.0,0.0,1.0
disappointedand,1.0,0.0,1.0
disappointedsheila,1.0,0.0,1.0
disappointmentwhen,1.0,0.0,1.0
disappoiont,1.0,0.0,1.0
disappoit,2.0,0.0,2.0
disappont,6.0,1.0,7.0
disappooint,1.0,0.0,1.0
disapppoint,1.0,0.0,1.0
disapprov,1.0,0.0,1.0
disapproveof,1.0,0.0,1.0
disassembl,14.0,6.0,20.0
disast,18.0,1.0,19.0
disaster,3.0,2.0,5.0
disastr,6.0,1.0,7.0
disat,1.0,0.0,1.0
disater,1.0,0.0,1.0
disatisfi,7.0,0.0,7.0
disband,3.0,1.0,4.0
disbar,0.0,1.0,1.0
disbelief,0.0,1.0,1.0
disbeliev,2.0,1.0,3.0
disc,79.0,63.0,142.0
discard,15.0,3.0,18.0
discern,20.0,6.0,26.0
discgear,1.0,0.0,1.0
discharg,6.0,3.0,9.0
discipl,1.0,2.0,3.0
disciplin,3.0,2.0,5.0
disciplinarian,1.0,0.0,1.0
disclaim,3.0,2.0,5.0
disclos,13.0,3.0,16.0
disco,5.0,16.0,21.0
discographi,2.0,0.0,2.0
discolor,5.0,4.0,9.0
discolour,1.0,0.0,1.0
discomfort,0.0,1.0,1.0
disconcert,7.0,4.0,11.0
disconnect,35.0,5.0,40.0
disconnectedcomplet,1.0,0.0,1.0
discont,0.0,2.0,2.0
discontinu,34.0,21.0,55.0
discord,0.0,2.0,2.0
discoteca,0.0,1.0,1.0
discount,9.0,3.0,12.0
discountin,1.0,0.0,1.0
discourag,21.0,20.0,41.0
discov,167.0,217.0,384.0
discover,1.0,0.0,1.0
discoverd,1.0,0.0,1.0
discoveri,2.0,3.0,5.0
discplay,0.0,1.0,1.0
discplin,1.0,0.0,1.0
discras,1.0,0.0,1.0
discredit,10.0,0.0,10.0
discret,2.0,1.0,3.0
discrib,7.0,3.0,10.0
discrimin,7.0,3.0,10.0
discript,2.0,2.0,4.0
discurs,1.0,0.0,1.0
discuss,81.0,102.0,183.0
discust,3.0,0.0,3.0
discusth,1.0,0.0,1.0
discut,1.0,0.0,1.0
disdain,3.0,2.0,5.0
diseas,5.0,4.0,9.0
disect,1.0,0.0,1.0
disembodi,2.0,1.0,3.0
disembowl,1.0,0.0,1.0
disemin,0.0,1.0,1.0
disen,1.0,0.0,1.0
disench,1.0,2.0,3.0
disenfranchis,0.0,1.0,1.0
disengag,3.0,2.0,5.0
disentangl,1.0,1.0,2.0
disfigur,3.0,1.0,4.0
disfunct,2.0,0.0,2.0
disfunt,0.0,1.0,1.0
disgrac,25.0,1.0,26.0
disgrunt,0.0,1.0,1.0
disgruntl,4.0,4.0,8.0
disguies,1.0,0.0,1.0
disguis,26.0,7.0,33.0
disguist,1.0,0.0,1.0
disguset,1.0,0.0,1.0
disgust,177.0,18.0,195.0
disgut,1.0,0.0,1.0
dish,23.0,15.0,38.0
disharmon,1.0,0.0,1.0
dishearten,8.0,2.0,10.0
dishi,3.0,0.0,3.0
dishonest,17.0,0.0,17.0
dishonesti,2.0,1.0,3.0
dishonor,3.0,0.0,3.0
dishonour,0.0,1.0,1.0
dishwash,8.0,10.0,18.0
disies,1.0,0.0,1.0
disillus,7.0,3.0,10.0
disinfect,2.0,3.0,5.0
disingenu,4.0,0.0,4.0
disintegr,9.0,6.0,15.0
disinterest,2.0,1.0,3.0
disintergr,1.0,0.0,1.0
disintigr,1.0,0.0,1.0
disjoint,45.0,8.0,53.0
disk,7.0,6.0,13.0
dislik,90.0,33.0,123.0
dislodg,4.0,0.0,4.0
dismal,18.0,4.0,22.0
dismantl,3.0,0.0,3.0
dismay,10.0,5.0,15.0
dismemb,1.0,0.0,1.0
dismiss,16.0,16.0,32.0
disney,20.0,16.0,36.0
disneyesqu,0.0,1.0,1.0
disneyfi,1.0,0.0,1.0
disneyland,4.0,3.0,7.0
disobey,1.0,2.0,3.0
disolv,1.0,0.0,1.0
dison,0.0,1.0,1.0
disonn,0.0,1.0,1.0
disord,6.0,2.0,8.0
disorderd,0.0,1.0,1.0
disorgan,15.0,2.0,17.0
disori,7.0,1.0,8.0
disown,1.0,1.0,2.0
dispar,1.0,0.0,1.0
disparag,5.0,0.0,5.0
dispatch,2.0,2.0,4.0
dispel,1.0,5.0,6.0
dispens,9.0,11.0,20.0
dispers,1.0,0.0,1.0
dispic,1.0,3.0,4.0
dispirit,1.0,1.0,2.0
dispit,3.0,1.0,4.0
displac,0.0,2.0,2.0
display,88.0,64.0,152.0
displeas,14.0,2.0,16.0
displeasur,1.0,0.0,1.0
dispoint,2.0,0.0,2.0
dispon,0.0,2.0,2.0
dispos,32.0,25.0,57.0
dispossess,0.0,2.0,2.0
disppoint,7.0,0.0,7.0
disproport,1.0,1.0,2.0
disproportion,4.0,0.0,4.0
disprov,1.0,2.0,3.0
disput,5.0,6.0,11.0
disqualifi,1.0,0.0,1.0
disquis,1.0,0.0,1.0
disregard,10.0,3.0,13.0
disreput,1.0,0.0,1.0
disrespect,13.0,1.0,14.0
disrupt,6.0,3.0,9.0
diss,11.0,13.0,24.0
dissagre,0.0,1.0,1.0
dissapear,4.0,0.0,4.0
dissapiont,4.0,2.0,6.0
dissapoibt,1.0,0.0,1.0
dissapoin,1.0,0.0,1.0
dissapoint,294.0,57.0,351.0
dissapointd,2.0,0.0,2.0
dissapointecd,1.0,0.0,1.0
dissapointedin,1.0,0.0,1.0
dissapoit,1.0,0.0,1.0
dissapont,0.0,1.0,1.0
dissappear,0.0,2.0,2.0
dissappiont,1.0,1.0,2.0
dissappoint,77.0,6.0,83.0
dissaspoint,1.0,0.0,1.0
dissast,0.0,1.0,1.0
dissatifi,1.0,0.0,1.0
dissatisfi,38.0,4.0,42.0
disscuss,2.0,0.0,2.0
dissect,5.0,6.0,11.0
dissent,3.0,1.0,4.0
disservic,2.0,1.0,3.0
disshim,0.0,1.0,1.0
dissid,0.0,2.0,2.0
dissimilar,1.0,2.0,3.0
dissin,0.0,1.0,1.0
dissip,4.0,4.0,8.0
dissipoint,1.0,0.0,1.0
dissoci,2.0,0.0,2.0
dissolv,11.0,10.0,21.0
disson,2.0,3.0,5.0
disspaoint,1.0,0.0,1.0
disspel,0.0,1.0,1.0
disspoint,1.0,0.0,1.0
dissppoint,1.0,0.0,1.0
dissuad,2.0,1.0,3.0
distanc,5.0,7.0,12.0
distant,21.0,12.0,33.0
distast,13.0,4.0,17.0
distat,1.0,0.0,1.0
distict,0.0,1.0,1.0
distil,3.0,8.0,11.0
distin,0.0,1.0,1.0
distinc,0.0,1.0,1.0
distinct,27.0,53.0,80.0
distinguish,16.0,20.0,36.0
distor,1.0,0.0,1.0
distort,44.0,12.0,56.0
distract,105.0,33.0,138.0
distraught,2.0,0.0,2.0
distress,10.0,5.0,15.0
distribut,10.0,11.0,21.0
distributeto,1.0,0.0,1.0
distroy,5.0,2.0,7.0
distrub,1.0,0.0,1.0
distrust,3.0,0.0,3.0
disturb,128.0,99.0,227.0
ditch,9.0,4.0,13.0
ditko,0.0,1.0,1.0
ditsi,1.0,0.0,1.0
ditti,0.0,2.0,2.0
ditto,2.0,3.0,5.0
diturb,0.0,1.0,1.0
ditz,1.0,0.0,1.0
ditzi,1.0,1.0,2.0
diuret,5.0,0.0,5.0
diva,7.0,7.0,14.0
dive,18.0,28.0,46.0
diver,2.0,5.0,7.0
diverg,5.0,3.0,8.0
divers,9.0,31.0,40.0
diversifi,0.0,3.0,3.0
divert,7.0,2.0,9.0
divi,0.0,1.0,1.0
diviant,1.0,0.0,1.0
divid,16.0,21.0,37.0
divin,12.0,16.0,28.0
divis,1.0,1.0,2.0
divorc,11.0,14.0,25.0
divulg,1.0,2.0,3.0
divyezhek,1.0,0.0,1.0
diwerth,1.0,0.0,1.0
dixi,1.0,1.0,2.0
dixon,2.0,2.0,4.0
diy,1.0,2.0,3.0
diz,0.0,1.0,1.0
