,negative,positive,total
chutney,0.0,1.0,1.0
chyna,0.0,3.0,3.0
chynna,0.0,4.0,4.0
ci,3.0,0.0,3.0
cia,29.0,42.0,71.0
cianelli,0.0,1.0,1.0
ciannelli,0.0,2.0,2.0
ciar,1.0,0.0,1.0
ciaran,3.0,0.0,3.0
cice,8.0,0.0,8.0
cicili,1.0,0.0,1.0
cid,3.0,1.0,4.0
cidad,1.0,0.0,1.0
cider,1.0,0.0,1.0
cieux,1.0,0.0,1.0
cigar,4.0,6.0,10.0
cigaret,1.0,0.0,1.0
cigarett,5.0,3.0,8.0
cile,1.0,0.0,1.0
cillian,17.0,31.0,48.0
cimarron,1.0,2.0,3.0
cimemat,1.0,0.0,1.0
cimino,4.0,2.0,6.0
cin,1.0,1.0,2.0
cinch,1.0,1.0,2.0
cincinatti,1.0,1.0,2.0
cincinnati,2.0,0.0,2.0
cinder,0.0,1.0,1.0
cinderalla,0.0,1.0,1.0
cinderella,10.0,19.0,29.0
cindi,17.0,29.0,46.0
cine,3.0,3.0,6.0
cineast,1.0,0.0,1.0
cineatiqu,1.0,0.0,1.0
cinefest,0.0,1.0,1.0
cinema,121.0,141.0,262.0
cinemag,2.0,0.0,2.0
cinemagraph,0.0,1.0,1.0
cinemaphil,0.0,1.0,1.0
cinemascop,1.0,3.0,4.0
cinemat,422.0,456.0,878.0
cinematician,0.0,1.0,1.0
cinematograf,0.0,1.0,1.0
cinematograph,32.0,54.0,86.0
cinematographi,22.0,20.0,42.0
cinemax,6.0,4.0,10.0
cinephil,0.0,3.0,3.0
cinephilia,0.0,1.0,1.0
cineplex,1.0,2.0,3.0
cinequanon,0.0,1.0,1.0
cinequest,0.0,1.0,1.0
cingular,1.0,0.0,1.0
cini,0.0,1.0,1.0
cinmea,0.0,1.0,1.0
cinnamon,4.0,1.0,5.0
cinqui,1.0,0.0,1.0
cinthia,1.0,0.0,1.0
cipher,5.0,0.0,5.0
cipriani,1.0,1.0,2.0
cirbbin,1.0,0.0,1.0
circa,8.0,20.0,28.0
circl,18.0,29.0,47.0
circuit,3.0,3.0,6.0
circul,7.0,5.0,12.0
circular,18.0,14.0,32.0
circumambul,1.0,0.0,1.0
circumnavig,1.0,2.0,3.0
circumscrib,0.0,1.0,1.0
circumspect,2.0,1.0,3.0
circumstanti,2.0,6.0,8.0
circumv,3.0,2.0,5.0
circus,3.0,13.0,16.0
ciro,1.0,0.0,1.0
cirqu,0.0,1.0,1.0
cissi,0.0,1.0,1.0
cit,1.0,1.0,2.0
cite,30.0,31.0,61.0
citifi,1.0,0.0,1.0
citizen,48.0,70.0,118.0
citizenship,1.0,0.0,1.0
citroen,0.0,1.0,1.0
citt,0.0,1.0,1.0
citta,0.0,1.0,1.0
cityscap,0.0,1.0,1.0
citzen,2.0,0.0,2.0
civic,7.0,8.0,15.0
civil,122.0,299.0,421.0
civilian,19.0,41.0,60.0
civilis,9.0,7.0,16.0
civiliz,0.0,1.0,1.0
civl,1.0,0.0,1.0
cj,2.0,5.0,7.0
ck,16.0,4.0,20.0
cked,1.0,0.0,1.0
cken,1.0,0.0,1.0
cki,4.0,17.0,21.0
ckin,0.0,1.0,1.0
cking,9.0,7.0,16.0
ckyish,1.0,0.0,1.0
cl,2.0,2.0,4.0
clack,0.0,2.0,2.0
clad,59.0,27.0,86.0
claiborn,0.0,2.0,2.0
claibourn,3.0,0.0,3.0
claim,412.0,338.0,750.0
clair,22.0,25.0,47.0
clairborn,0.0,1.0,1.0
clairvoy,4.0,8.0,12.0
clam,1.0,2.0,3.0
clamber,0.0,2.0,2.0
clammi,1.0,1.0,2.0
clamor,3.0,1.0,4.0
clamour,0.0,2.0,2.0
clamp,3.0,1.0,4.0
clampett,7.0,2.0,9.0
clan,5.0,4.0,9.0
clanci,0.0,1.0,1.0
clandestin,5.0,8.0,13.0
clang,5.0,1.0,6.0
clank,1.0,0.0,1.0
clannad,0.0,2.0,2.0
clanton,0.0,1.0,1.0
clap,12.0,10.0,22.0
claptrap,2.0,0.0,2.0
clara,8.0,9.0,17.0
clare,0.0,4.0,4.0
claremont,2.0,0.0,2.0
clarenc,1.0,10.0,11.0
clari,1.0,0.0,1.0
claric,2.0,0.0,2.0
clarifi,23.0,25.0,48.0
clarinetist,0.0,1.0,1.0
clarissa,2.0,0.0,2.0
clark,25.0,32.0,57.0
clarksberg,0.0,1.0,1.0
clarkson,2.0,2.0,4.0
clarksvill,0.0,1.0,1.0
clash,14.0,33.0,47.0
clasic,0.0,2.0,2.0
clasp,1.0,5.0,6.0
class,20.0,24.0,44.0
classi,29.0,57.0,86.0
classic,1237.0,2344.0,3581.0
classico,0.0,1.0,1.0
classier,1.0,0.0,1.0
classiest,1.0,2.0,3.0
classifi,46.0,65.0,111.0
classless,3.0,0.0,3.0
classmat,1.0,1.0,2.0
claud,8.0,28.0,36.0
claudett,0.0,3.0,3.0
claudi,0.0,1.0,1.0
claudia,6.0,17.0,23.0
claudian,1.0,0.0,1.0
claudin,0.0,7.0,7.0
claudio,3.0,2.0,5.0
claudius,5.0,6.0,11.0
claus,9.0,1.0,10.0
claustophob,0.0,1.0,1.0
claustrophob,45.0,68.0,113.0
claustrophobia,0.0,1.0,1.0
clavel,0.0,1.0,1.0
clavier,6.0,3.0,9.0
clavious,1.0,0.0,1.0
clavius,1.0,0.0,1.0
claw,22.0,5.0,27.0
clay,11.0,2.0,13.0
claydon,0.0,1.0,1.0
claymor,0.0,1.0,1.0
clayton,5.0,7.0,12.0
clean,277.0,348.0,625.0
cleaner,13.0,22.0,35.0
cleanest,2.0,5.0,7.0
cleanli,1.0,0.0,1.0
cleans,19.0,14.0,33.0
clear,1836.0,1566.0,3402.0
clearanc,0.0,1.0,1.0
clearcut,0.0,2.0,2.0
clearer,8.0,24.0,32.0
clearest,5.0,3.0,8.0
clearhead,0.0,1.0,1.0
cleari,2.0,1.0,3.0
clearlli,1.0,0.0,1.0
cleat,0.0,1.0,1.0
cleav,1.0,0.0,1.0
cleavag,1.0,0.0,1.0
cleaver,6.0,2.0,8.0
cleavon,1.0,3.0,4.0
cleef,0.0,1.0,1.0
clees,15.0,11.0,26.0
clegg,0.0,3.0,3.0
clemen,1.0,0.0,1.0
clemenc,1.0,0.0,1.0
clement,1.0,0.0,1.0
clementin,0.0,2.0,2.0
clench,10.0,8.0,18.0
clennon,0.0,1.0,1.0
clenteen,0.0,1.0,1.0
cleo,1.0,3.0,4.0
cleopatra,9.0,14.0,23.0
clergi,1.0,1.0,2.0
clergyman,2.0,1.0,3.0
cleric,5.0,0.0,5.0
clerk,4.0,9.0,13.0
clete,0.0,1.0,1.0
cletus,0.0,1.0,1.0
cleveland,2.0,3.0,5.0
clever,343.0,553.0,896.0
cleverest,4.0,4.0,8.0
cleverst,1.0,0.0,1.0
clevon,1.0,0.0,1.0
clich,820.0,237.0,1057.0
clicheish,0.0,2.0,2.0
click,43.0,66.0,109.0
clientel,0.0,1.0,1.0
cliff,14.0,15.0,29.0
cliffhang,7.0,5.0,12.0
clifford,2.0,0.0,2.0
clifftop,1.0,0.0,1.0
clift,1.0,0.0,1.0
clifton,2.0,0.0,2.0
climact,92.0,96.0,188.0
climat,50.0,42.0,92.0
climatologist,0.0,1.0,1.0
climax,40.0,55.0,95.0
climb,99.0,116.0,215.0
climbax,0.0,1.0,1.0
climber,1.0,3.0,4.0
clinch,3.0,1.0,4.0
cline,1.0,0.0,1.0
cling,11.0,29.0,40.0
clinger,0.0,1.0,1.0
clinic,32.0,35.0,67.0
clink,2.0,1.0,3.0
clint,21.0,27.0,48.0
clinton,1.0,2.0,3.0
clio,0.0,1.0,1.0
clip,36.0,22.0,58.0
clipper,1.0,0.0,1.0
cliqu,0.0,5.0,5.0
cliquey,1.0,0.0,1.0
clit,0.0,1.0,1.0
clitori,1.0,0.0,1.0
clive,52.0,61.0,113.0
cliver,1.0,0.0,1.0
cloak,13.0,13.0,26.0
clobber,4.0,9.0,13.0
clock,21.0,19.0,40.0
clockwork,7.0,0.0,7.0
cloddish,2.0,0.0,2.0
cloesd,0.0,1.0,1.0
clog,3.0,4.0,7.0
clohessi,0.0,1.0,1.0
cloister,0.0,2.0,2.0
cloke,0.0,1.0,1.0
clone,45.0,8.0,53.0
clonk,1.0,0.0,1.0
clonus,3.0,0.0,3.0
clooney,2.0,3.0,5.0
clori,6.0,16.0,22.0
close,1461.0,1547.0,3008.0
closer,112.0,205.0,317.0
closest,65.0,99.0,164.0
closet,24.0,23.0,47.0
closeup,7.0,1.0,8.0
closur,1.0,2.0,3.0
cloth,54.0,36.0,90.0
clotheslin,1.0,2.0,3.0
cloud,25.0,26.0,51.0
cloudi,2.0,2.0,4.0
clouseau,1.0,2.0,3.0
clout,2.0,0.0,2.0
cloutish,1.0,0.0,1.0
clouzot,1.0,17.0,18.0
clove,1.0,0.0,1.0
cloven,0.0,1.0,1.0
clover,1.0,0.0,1.0
cloverfield,1.0,0.0,1.0
clovi,2.0,2.0,4.0
clown,58.0,37.0,95.0
clownhous,0.0,1.0,1.0
clownifi,1.0,0.0,1.0
clownish,8.0,2.0,10.0
cloy,28.0,9.0,37.0
clu,2.0,4.0,6.0
club,54.0,64.0,118.0
clubberin,0.0,1.0,1.0
cluck,14.0,1.0,15.0
clue,88.0,28.0,116.0
clueless,54.0,18.0,72.0
cluelessli,2.0,1.0,3.0
cluemast,1.0,0.0,1.0
clumbsi,1.0,0.0,1.0
clump,2.0,2.0,4.0
clumsey,0.0,2.0,2.0
clumsi,124.0,46.0,170.0
clumsiest,1.0,0.0,1.0
clumsili,44.0,15.0,59.0
clung,2.0,1.0,3.0
clunk,9.0,0.0,9.0
clunker,1.0,0.0,1.0
clunki,56.0,14.0,70.0
clunkiest,1.0,0.0,1.0
clunkili,2.0,1.0,3.0
cluster,2.0,2.0,4.0
clutch,17.0,13.0,30.0
clutter,14.0,12.0,26.0
clutz,0.0,1.0,1.0
clyde,12.0,10.0,22.0
clymat,1.0,0.0,1.0
clytemnastra,0.0,1.0,1.0
cm,2.0,0.0,2.0
cmdr,1.0,0.0,1.0
cmi,0.0,3.0,3.0
cmt,1.0,0.0,1.0
cn,2.0,0.0,2.0
cnat,1.0,0.0,1.0
cnd,2.0,0.0,2.0
cnn,6.0,2.0,8.0
co,200.0,238.0,438.0
coach,36.0,30.0,66.0
coal,2.0,1.0,3.0
coalesc,4.0,5.0,9.0
coalvill,0.0,1.0,1.0
coalwood,0.0,1.0,1.0
coars,11.0,17.0,28.0
coarsen,0.0,1.0,1.0
coast,17.0,11.0,28.0
coastal,15.0,26.0,41.0
coaster,1.0,0.0,1.0
coat,27.0,35.0,62.0
coati,0.0,1.0,1.0
coax,20.0,17.0,37.0
cobain,0.0,3.0,3.0
cobb,11.0,11.0,22.0
cobbl,34.0,6.0,40.0
cobblepot,0.0,2.0,2.0
cobbleston,0.0,1.0,1.0
cobern,0.0,1.0,1.0
cobra,16.0,1.0,17.0
coburn,27.0,21.0,48.0
cobweb,2.0,4.0,6.0
cocain,4.0,5.0,9.0
coccio,0.0,4.0,4.0
coceis,1.0,0.0,1.0
cochis,0.0,1.0,1.0
cochlear,1.0,0.0,1.0
cochran,1.0,0.0,1.0
cock,14.0,11.0,25.0
cockalorum,1.0,0.0,1.0
cocker,0.0,1.0,1.0
cockey,3.0,2.0,5.0
cockfight,3.0,0.0,3.0
cocki,33.0,24.0,57.0
cockier,0.0,1.0,1.0
cockili,1.0,0.0,1.0
cockney,3.0,4.0,7.0
cockold,1.0,0.0,1.0
cockroach,2.0,0.0,2.0
cocktail,3.0,0.0,3.0
coco,6.0,5.0,11.0
coconut,2.0,3.0,5.0
cocoon,1.0,0.0,1.0
cod,3.0,0.0,3.0
coda,0.0,2.0,2.0
codd,1.0,0.0,1.0
coddl,6.0,2.0,8.0
code,14.0,19.0,33.0
codec,1.0,0.0,1.0
codefre,0.0,1.0,1.0
codenam,1.0,1.0,2.0
codepend,0.0,1.0,1.0
codfish,3.0,0.0,3.0
codi,2.0,2.0,4.0
codifi,0.0,1.0,1.0
codswallop,0.0,1.0,1.0
coe,0.0,5.0,5.0
coelho,1.0,0.0,1.0
coen,1.0,9.0,10.0
coerc,11.0,11.0,22.0
coercibl,0.0,1.0,1.0
coerciv,0.0,1.0,1.0
coexist,0.0,5.0,5.0
cof,1.0,0.0,1.0
coffe,1.0,4.0,5.0
coffeehous,0.0,1.0,1.0
coffi,6.0,1.0,7.0
coffin,6.0,5.0,11.0
cog,1.0,0.0,1.0
cogan,0.0,2.0,2.0
cogent,7.0,2.0,9.0
cogit,0.0,1.0,1.0
cognit,3.0,2.0,5.0
cogniz,1.0,3.0,4.0
cogsworth,1.0,0.0,1.0
cohabit,2.0,0.0,2.0
cohan,1.0,0.0,1.0
cohen,12.0,7.0,19.0
coher,99.0,38.0,137.0
coherr,1.0,0.0,1.0
cohes,37.0,39.0,76.0
coif,6.0,1.0,7.0
coiffur,0.0,1.0,1.0
coil,1.0,1.0,2.0
coin,11.0,13.0,24.0
coincedent,0.0,1.0,1.0
coincid,26.0,28.0,54.0
coincident,45.0,39.0,84.0
coincidenti,0.0,1.0,1.0
coinlightn,1.0,0.0,1.0
coital,1.0,2.0,3.0
coke,11.0,12.0,23.0
cokehead,1.0,0.0,1.0
col,6.0,4.0,10.0
cola,0.0,2.0,2.0
colagrand,5.0,0.0,5.0
colasanto,0.0,1.0,1.0
colbert,9.0,12.0,21.0
colbi,0.0,3.0,3.0
cold,389.0,549.0,938.0
coldblood,2.0,2.0,4.0
colder,2.0,3.0,5.0
coldest,3.0,6.0,9.0
cole,32.0,78.0,110.0
coleen,1.0,1.0,2.0
coleman,7.0,7.0,14.0
coleridg,0.0,1.0,1.0
coleseum,0.0,1.0,1.0
colgan,0.0,1.0,1.0
colin,25.0,15.0,40.0
coliseum,1.0,0.0,1.0
collabor,16.0,31.0,47.0
collag,1.0,0.0,1.0
collaps,58.0,64.0,122.0
collar,16.0,25.0,41.0
collater,1.0,5.0,6.0
colleagu,4.0,1.0,5.0
collect,195.0,198.0,393.0
collector,0.0,6.0,6.0
colleen,5.0,6.0,11.0
collegi,2.0,0.0,2.0
collegian,0.0,1.0,1.0
colleh,1.0,0.0,1.0
collet,3.0,1.0,4.0
collett,1.0,1.0,2.0
colli,0.0,3.0,3.0
collid,17.0,25.0,42.0
collier,0.0,1.0,1.0
collin,12.0,18.0,30.0
collinwood,0.0,5.0,5.0
colloca,2.0,0.0,2.0
colloqui,1.0,9.0,10.0
collora,2.0,3.0,5.0
collos,1.0,0.0,1.0
collud,1.0,2.0,3.0
collus,1.0,0.0,1.0
colm,2.0,0.0,2.0
colman,1.0,16.0,17.0
cologn,1.0,0.0,1.0
colombia,1.0,4.0,5.0
colombian,7.0,22.0,29.0
colombo,0.0,2.0,2.0
colon,7.0,8.0,15.0
colonel,3.0,13.0,16.0
coloni,8.0,16.0,24.0
colonialist,0.0,1.0,1.0
colonis,4.0,2.0,6.0
colonn,1.0,0.0,1.0
color,158.0,265.0,423.0
colorado,0.0,4.0,4.0
coloratura,1.0,0.0,1.0
colorect,1.0,0.0,1.0
coloris,1.0,0.0,1.0
colorless,14.0,4.0,18.0
coloss,14.0,13.0,27.0
colour,54.0,96.0,150.0
colouris,2.0,1.0,3.0
colourless,3.0,3.0,6.0
coltish,1.0,0.0,1.0
colton,3.0,0.0,3.0
coltrain,1.0,0.0,1.0
coltran,0.0,3.0,3.0
colubian,0.0,1.0,1.0
colum,0.0,2.0,2.0
columb,1.0,0.0,1.0
columbia,12.0,28.0,40.0
columbian,3.0,3.0,6.0
columbin,2.0,5.0,7.0
columbo,27.0,104.0,131.0
columbus,6.0,1.0,7.0
column,0.0,5.0,5.0
columnist,0.0,2.0,2.0
colvig,0.0,1.0,1.0
com,20.0,28.0,48.0
coma,8.0,0.0,8.0
comanch,1.0,0.0,1.0
comatos,22.0,14.0,36.0
comb,22.0,9.0,31.0
combat,24.0,22.0,46.0
combin,278.0,387.0,665.0
combinator,1.0,0.0,1.0
combo,3.0,6.0,9.0
combust,4.0,3.0,7.0
comcast,2.0,0.0,2.0
comdey,0.0,1.0,1.0
come,6362.0,6581.0,12943.0
comeback,5.0,4.0,9.0
comed,222.0,358.0,580.0
comedi,247.0,203.0,450.0
comedian,105.0,104.0,209.0
comedienn,1.0,3.0,4.0
comedown,1.0,2.0,3.0
comer,0.0,4.0,4.0
comet,6.0,3.0,9.0
comfi,7.0,2.0,9.0
comfort,111.0,238.0,349.0
comic,881.0,1138.0,2019.0
comiccon,0.0,1.0,1.0
comici,1.0,0.0,1.0
comig,0.0,1.0,1.0
comin,5.0,2.0,7.0
comiqu,0.0,1.0,1.0
comlex,0.0,1.0,1.0
comm,2.0,1.0,3.0
commanch,1.0,0.0,1.0
command,63.0,116.0,179.0
commando,17.0,6.0,23.0
commemor,4.0,8.0,12.0
commenc,8.0,16.0,24.0
commend,71.0,85.0,156.0
comment,344.0,281.0,625.0
commentari,75.0,80.0,155.0
commerc,1.0,0.0,1.0
commerci,265.0,244.0,509.0
commercialis,0.0,1.0,1.0
commi,0.0,3.0,3.0
commiser,1.0,3.0,4.0
commiss,17.0,13.0,30.0
commissari,0.0,3.0,3.0
commission,0.0,3.0,3.0
commit,405.0,417.0,822.0
committ,1.0,3.0,4.0
committe,0.0,1.0,1.0
commodifi,1.0,1.0,2.0
commodor,0.0,2.0,2.0
common,519.0,555.0,1074.0
commonplac,5.0,11.0,16.0
commonsens,1.0,0.0,1.0
commonwealth,0.0,1.0,1.0
commplet,1.0,0.0,1.0
communal,4.0,4.0,8.0
communalist,0.0,1.0,1.0
commune,1.0,3.0,4.0
communic,83.0,131.0,214.0
communism,1.0,0.0,1.0
communist,51.0,84.0,135.0
commut,1.0,2.0,3.0
comp,1.0,0.0,1.0
compact,5.0,21.0,26.0
compadr,0.0,1.0,1.0
companero,1.0,0.0,1.0
compani,0.0,1.0,1.0
companion,2.0,4.0,6.0
companionship,0.0,1.0,1.0
companyman,0.0,1.0,1.0
compar,971.0,1064.0,2035.0
comparison,4.0,4.0,8.0
comparit,1.0,0.0,1.0
compart,0.0,1.0,1.0
compartment,0.0,1.0,1.0
compass,1.0,0.0,1.0
compassion,12.0,33.0,45.0
compat,7.0,12.0,19.0
compel,303.0,540.0,843.0
compens,83.0,52.0,135.0
compensatori,0.0,1.0,1.0
comper,1.0,0.0,1.0
compet,232.0,227.0,459.0
competit,17.0,28.0,45.0
compil,13.0,15.0,28.0
complac,3.0,8.0,11.0
complain,215.0,275.0,490.0
complaint,3.0,3.0,6.0
compleat,0.0,1.0,1.0
complement,9.0,63.0,72.0
complementari,3.0,7.0,10.0
complet,3793.0,2300.0,6093.0
completeist,1.0,0.0,1.0
completest,5.0,0.0,5.0
completet,1.0,0.0,1.0
completi,1.0,0.0,1.0
completist,4.0,0.0,4.0
completley,0.0,1.0,1.0
complex,186.0,576.0,762.0
complexli,0.0,1.0,1.0
compli,9.0,9.0,18.0
compliant,3.0,0.0,3.0
complic,150.0,243.0,393.0
complicit,2.0,4.0,6.0
compliment,45.0,71.0,116.0
complimentari,10.0,8.0,18.0
compon,0.0,2.0,2.0
comport,0.0,1.0,1.0
compos,106.0,165.0,271.0
composit,9.0,17.0,26.0
compost,2.0,0.0,2.0
compound,31.0,10.0,41.0
comprehend,56.0,65.0,121.0
comprehens,28.0,34.0,62.0
compress,13.0,14.0,27.0
compris,45.0,61.0,106.0
compromis,38.0,70.0,108.0
comptent,1.0,0.0,1.0
compton,1.0,2.0,3.0
compuls,15.0,40.0,55.0
compulsori,1.0,14.0,15.0
compund,1.0,0.0,1.0
comput,5.0,4.0,9.0
computer,6.0,3.0,9.0
computeri,0.0,1.0,1.0
computeris,3.0,2.0,5.0
comrad,0.0,2.0,2.0
comstock,1.0,0.0,1.0
comsymp,0.0,1.0,1.0
comtemporari,0.0,1.0,1.0
con,63.0,62.0,125.0
conan,34.0,13.0,47.0
conaway,3.0,0.0,3.0
conceal,35.0,30.0,65.0
conced,21.0,13.0,34.0
conceit,19.0,12.0,31.0
conceiv,218.0,102.0,320.0
concel,1.0,0.0,1.0
concentr,116.0,138.0,254.0
concept,31.0,23.0,54.0
conceptionless,1.0,0.0,1.0
conceptu,12.0,22.0,34.0
conceptualis,0.0,1.0,1.0
concequ,1.0,0.0,1.0
concer,2.0,1.0,3.0
concern,384.0,424.0,808.0
concernen,0.0,1.0,1.0
concert,19.0,30.0,49.0
concha,2.0,0.0,2.0
conchata,0.0,1.0,1.0
conchi,0.0,1.0,1.0
conchita,5.0,4.0,9.0
concho,1.0,1.0,2.0
concid,0.0,1.0,1.0
conciel,0.0,1.0,1.0
conciev,2.0,1.0,3.0
concious,2.0,0.0,2.0
concis,3.0,9.0,12.0
conclav,1.0,1.0,2.0
conclud,131.0,103.0,234.0
conclus,12.0,16.0,28.0
concoct,28.0,31.0,59.0
concomit,0.0,1.0,1.0
concord,10.0,1.0,11.0
concour,0.0,1.0,1.0
concret,21.0,23.0,44.0
conculd,0.0,1.0,1.0
concur,10.0,11.0,21.0
concurr,1.0,9.0,10.0
concuss,1.0,0.0,1.0
condemn,55.0,96.0,151.0
condemnatori,0.0,2.0,2.0
condens,25.0,25.0,50.0
condensen,1.0,0.0,1.0
condensend,1.0,0.0,1.0
condescend,36.0,25.0,61.0
condi,0.0,2.0,2.0
condiment,0.0,1.0,1.0
condit,23.0,21.0,44.0
conditio,1.0,0.0,1.0
condition,1.0,1.0,2.0
condo,4.0,0.0,4.0
condol,1.0,0.0,1.0
condoleeza,1.0,0.0,1.0
condoli,0.0,1.0,1.0
condom,2.0,1.0,3.0
condomin,1.0,0.0,1.0
condon,9.0,14.0,23.0
condsid,1.0,0.0,1.0
conduc,1.0,3.0,4.0
conduct,63.0,61.0,124.0
conelley,0.0,1.0,1.0
conelli,0.0,1.0,1.0
conesseuir,1.0,0.0,1.0
conestoga,0.0,1.0,1.0
coney,0.0,1.0,1.0
confab,0.0,1.0,1.0
confabul,1.0,0.0,1.0
confeder,5.0,7.0,12.0
confer,1.0,2.0,3.0
confess,96.0,100.0,196.0
confession,8.0,2.0,10.0
confid,45.0,104.0,149.0
confidant,1.0,1.0,2.0
confidenti,14.0,14.0,28.0
configur,1.0,4.0,5.0
confin,32.0,69.0,101.0
confirm,95.0,91.0,186.0
confirmatori,0.0,1.0,1.0
confisc,8.0,12.0,20.0
conflat,1.0,1.0,2.0
conflict,43.0,109.0,152.0
conflictu,0.0,1.0,1.0
conform,15.0,27.0,42.0
conformist,1.0,1.0,2.0
confound,11.0,11.0,22.0
confront,117.0,227.0,344.0
confuci,0.0,1.0,1.0
confucian,0.0,2.0,2.0
confucius,0.0,1.0,1.0
confuddl,1.0,0.0,1.0
confus,1004.0,569.0,1573.0
confusathon,1.0,0.0,1.0
cong,3.0,0.0,3.0
conga,0.0,1.0,1.0
congeal,3.0,0.0,3.0
congeni,2.0,1.0,3.0
congenit,3.0,1.0,4.0
congest,4.0,3.0,7.0
conglomer,2.0,1.0,3.0
congo,3.0,6.0,9.0
congole,1.0,0.0,1.0
congoles,2.0,5.0,7.0
congrat,0.0,3.0,3.0
congratul,30.0,24.0,54.0
congratulatori,0.0,2.0,2.0
congreg,2.0,2.0,4.0
congress,2.0,6.0,8.0
congression,5.0,10.0,15.0
congressman,1.0,0.0,1.0
congresswoman,1.0,1.0,2.0
congruent,2.0,0.0,2.0
congruous,1.0,1.0,2.0
conjectur,0.0,2.0,2.0
conjoin,5.0,2.0,7.0
conjug,3.0,2.0,5.0
conjur,36.0,41.0,77.0
conk,3.0,0.0,3.0
conman,0.0,2.0,2.0
conn,6.0,2.0,8.0
connal,0.0,1.0,1.0
connat,0.0,1.0,1.0
connaught,0.0,1.0,1.0
connect,313.0,279.0,592.0
connecticut,3.0,6.0,9.0
connel,6.0,1.0,7.0
connelli,11.0,38.0,49.0
conner,1.0,1.0,2.0
conneri,7.0,24.0,31.0
conni,5.0,12.0,17.0
connick,1.0,0.0,1.0
conniv,35.0,21.0,56.0
connoisseur,1.0,2.0,3.0
connolli,6.0,32.0,38.0
connor,14.0,14.0,28.0
connot,0.0,1.0,1.0
conor,0.0,4.0,4.0
conov,0.0,1.0,1.0
conquer,47.0,60.0,107.0
conqueror,1.0,0.0,1.0
conquest,6.0,5.0,11.0
conquistador,0.0,1.0,1.0
conrack,0.0,5.0,5.0
conrad,22.0,27.0,49.0
conri,0.0,1.0,1.0
conroy,4.0,9.0,13.0
consarn,1.0,0.0,1.0
conscienti,7.0,13.0,20.0
conscious,118.0,109.0,227.0
conscript,4.0,4.0,8.0
consecut,11.0,19.0,30.0
consensu,2.0,4.0,6.0
consensus,1.0,0.0,1.0
consent,7.0,10.0,17.0
conseq,0.0,1.0,1.0
consequ,57.0,52.0,109.0
consequenti,3.0,5.0,8.0
consern,0.0,2.0,2.0
conserv,86.0,103.0,189.0
conservationist,0.0,1.0,1.0
conservatori,0.0,2.0,2.0
consid,1504.0,1470.0,2974.0
consider,150.0,192.0,342.0
consign,10.0,10.0,20.0
consist,481.0,329.0,810.0
consol,15.0,17.0,32.0
consolid,4.0,3.0,7.0
conson,0.0,1.0,1.0
consort,1.0,1.0,2.0
conspic,1.0,0.0,1.0
conspici,0.0,1.0,1.0
conspicu,18.0,15.0,33.0
conspir,20.0,19.0,39.0
conspiraci,4.0,2.0,6.0
conspiratori,2.0,3.0,5.0
conspirit,0.0,1.0,1.0
constabl,7.0,7.0,14.0
constabulari,1.0,1.0,2.0
constain,0.0,1.0,1.0
constan,0.0,1.0,1.0
constanc,1.0,0.0,1.0
constant,681.0,692.0,1373.0
constantin,0.0,2.0,2.0
constantinopl,1.0,0.0,1.0
constip,20.0,4.0,24.0
constitu,0.0,1.0,1.0
constitut,44.0,42.0,86.0
constrain,11.0,10.0,21.0
constrict,6.0,3.0,9.0
constru,9.0,8.0,17.0
construct,145.0,164.0,309.0
consul,0.0,1.0,1.0
consular,1.0,0.0,1.0
consult,17.0,12.0,29.0
consum,70.0,82.0,152.0
consumerist,3.0,2.0,5.0
consumm,20.0,23.0,43.0
consumpt,0.0,4.0,4.0
cont,1.0,2.0,3.0
contact,59.0,78.0,137.0
contagi,12.0,11.0,23.0
contain,658.0,690.0,1348.0
contamin,20.0,23.0,43.0
contect,0.0,1.0,1.0
contemp,1.0,0.0,1.0
contempari,0.0,1.0,1.0
contemperan,1.0,0.0,1.0
contempl,66.0,76.0,142.0
contempor,2.0,0.0,2.0
contemporan,3.0,8.0,11.0
contemporari,149.0,286.0,435.0
contemporarili,1.0,0.0,1.0
contemporay,0.0,1.0,1.0
contemprari,0.0,1.0,1.0
contempt,17.0,7.0,24.0
contemptu,1.0,7.0,8.0
contend,33.0,37.0,70.0
contenduh,0.0,1.0,1.0
content,79.0,96.0,175.0
contenti,2.0,3.0,5.0
contest,17.0,12.0,29.0
context,14.0,8.0,22.0
contextu,4.0,7.0,11.0
contextualis,1.0,0.0,1.0
conti,1.0,1.0,2.0
contigu,2.0,0.0,2.0
continent,6.0,10.0,16.0
conting,1.0,2.0,3.0
continu,808.0,970.0,1778.0
continuum,0.0,1.0,1.0
contless,0.0,1.0,1.0
contort,10.0,0.0,10.0
contour,0.0,1.0,1.0
contr,0.0,4.0,4.0
contra,8.0,3.0,11.0
contraband,0.0,1.0,1.0
contracept,3.0,0.0,3.0
contract,11.0,14.0,25.0
contractor,1.0,0.0,1.0
contractu,13.0,8.0,21.0
contradict,35.0,35.0,70.0
contradictori,7.0,6.0,13.0
contradictorili,1.0,1.0,2.0
contraind,1.0,0.0,1.0
contrair,0.0,1.0,1.0
contraproduct,1.0,0.0,1.0
contrari,78.0,108.0,186.0
contrarian,1.0,3.0,4.0
contrarili,1.0,1.0,2.0
contrast,44.0,112.0,156.0
contravert,1.0,0.0,1.0
